"Trial","Slider","Variable"
269,"changes",1
270,"changes",-1
271,"changes",-1
272,"changes",1
273,"changes",1
274,"changes",1
275,"changes",-1
276,"changes",1
277,"changes",1
278,"changes",1
279,"changes",1
280,"changes",1
281,"changes",-1
282,"changes",-1
283,"changes",1
284,"changes",1
285,"changes",1
286,"changes",1
287,"changes",1
288,"changes",-1
289,"changes",-1
290,"changes",-1
291,"changes",1
292,"changes",1
293,"changes",1
294,"changes",1
295,"changes",1
296,"changes",1
297,"changes",1
298,"changes",1
299,"changes",1
300,"changes",1
1,"env",-0.678521428443492
2,"env",-0.981472750753164
3,"env",-0.651538004726172
4,"env",-0.993267684802413
5,"env",-0.920941714197397
6,"env",-0.823167291842401
7,"env",0.900244652852416
8,"env",0.577688890509307
9,"env",0.736414090543985
10,"env",0.486318238638341
11,"env",0.695562751404941
12,"env",-0.92232696544379
13,"env",-0.650073575600982
14,"env",-0.575007950514555
15,"env",-0.327118252590299
16,"env",0.842332999408245
17,"env",0.567138141207397
18,"env",0.439976153708994
19,"env",0.616995268687606
20,"env",0.855610238574445
21,"env",0.201462554559112
22,"env",0.715337599255145
23,"env",0.30629504211247
24,"env",0.984724533185363
25,"env",0.685910242423415
26,"env",0.489253916591406
27,"env",0.704681754298508
28,"env",0.644561706669629
29,"env",0.796340434253216
30,"env",0.887882680259645
31,"env",0.959528765082359
32,"env",0.777620997466147
33,"env",0.648163592815399
34,"env",0.205336874350905
35,"env",0.959693405032158
36,"env",-0.472028766199946
37,"env",-0.566869484633207
38,"env",-0.630132930725813
39,"env",0.615687741339207
40,"env",0.941711513698101
41,"env",0.693919095210731
42,"env",0.513887017220259
43,"env",0.92914510127157
44,"env",0.812197888456285
45,"env",0.25062020290643
46,"env",0.558734549768269
47,"env",0.850766923464835
48,"env",0.402093067765236
49,"env",-0.88189144320786
50,"env",-0.692942010425031
51,"env",-0.715342984721065
52,"env",-0.808289488591254
53,"env",-0.507903003692627
54,"env",-0.442355150543153
55,"env",-0.282477158494294
56,"env",-0.751563667878509
57,"env",-0.297408421337605
58,"env",-0.981701292470098
59,"env",-0.200699848867953
60,"env",-0.345921941846609
61,"env",0.330818700045347
62,"env",0.589706129953265
63,"env",0.38313736114651
64,"env",0.682593466155231
65,"env",0.974851351976395
66,"env",0.808104847185314
67,"env",0.334464818239212
68,"env",0.749601591937244
69,"env",-0.700660753808916
70,"env",-0.694080039672553
71,"env",-0.99274218082428
72,"env",-0.954968418180943
73,"env",-0.612744074314833
74,"env",-0.808131076581776
75,"env",-0.331472927890718
76,"env",-0.476936735026538
77,"env",-0.759647494368255
78,"env",-0.355980879999697
79,"env",-0.56979814954102
80,"env",-0.467803738638759
81,"env",-0.538909309729934
82,"env",0.592457296140492
83,"env",0.599665984325111
84,"env",0.696975797601044
85,"env",0.877584704384208
86,"env",0.612923067808151
87,"env",-0.638274605758488
88,"env",-0.857664530724287
89,"env",-0.672858121618628
90,"env",-0.290395777486265
91,"env",-0.602209964767098
92,"env",-0.235405064933002
93,"env",-0.244718976318836
94,"env",0.475928522087634
95,"env",0.370308144390583
96,"env",-0.485657048597932
97,"env",0.795525998808444
98,"env",0.915684925206006
99,"env",0.260336841084063
100,"env",-0.408373543433845
101,"env",-0.623675172962248
102,"env",-0.353439253568649
103,"env",0.91413392405957
104,"env",0.704622080363333
105,"env",0.398429460264742
106,"env",0.686526293680072
107,"env",0.914387536607683
108,"env",0.417204465158284
109,"env",0.997258479520678
110,"env",0.814658109098673
111,"env",0.875291102007032
112,"env",-0.818306065909564
113,"env",-0.292945970036089
114,"env",-0.828980223834515
115,"env",-0.541348283924162
116,"env",-0.283129641599953
117,"env",-0.273643972724676
118,"env",-0.223032548837364
119,"env",-0.264741470105946
120,"env",-0.630786508321762
121,"env",0.365817436948419
122,"env",-0.440074747242033
123,"env",-0.242757294513285
124,"env",-0.716368462145329
125,"env",-0.319482355192304
126,"env",-0.32924963645637
127,"env",-0.770242603495717
128,"env",-0.679838793538511
129,"env",-0.859564829617739
130,"env",-0.318587946891785
131,"env",-0.342842125147581
132,"env",-0.722227933071554
133,"env",-0.285751231759787
134,"env",-0.858129506930709
135,"env",-0.42458427734673
136,"env",-0.819141325354576
137,"env",-0.328201663307846
138,"env",-0.460111238434911
139,"env",-0.266237483546138
140,"env",-0.543353205919266
141,"env",-0.866426144726574
142,"env",-0.25057829208672
143,"env",-0.372987649776042
144,"env",-0.715741945803166
145,"env",-0.573311228305101
146,"env",-0.98443064801395
147,"env",-0.805875198170543
148,"env",-0.22337774541229
149,"env",-0.24667580164969
150,"env",-0.644357776455581
151,"env",-0.910583581775427
152,"env",-0.608871190994978
153,"env",-0.364782952703536
154,"env",-0.409563588909805
155,"env",0.809430761262774
156,"env",-0.82932364102453
157,"env",-0.591768231615424
158,"env",-0.5139518648386
159,"env",-0.538734502904117
160,"env",-0.740668606944382
161,"env",-0.88924100920558
162,"env",-0.590497361496091
163,"env",-0.223973370343447
164,"env",-0.724888713099062
165,"env",-0.805008198134601
166,"env",-0.524185544811189
167,"env",-0.306304247118533
168,"env",-0.875462156161666
169,"env",-0.722120719403029
170,"env",-0.930239654146135
171,"env",-0.447971073910594
172,"env",-0.672423194721341
173,"env",-0.66979335155338
174,"env",-0.894024138338864
175,"env",0.615019845403731
176,"env",0.73621429707855
177,"env",-0.241656126081944
178,"env",-0.262499883957207
179,"env",-0.242505249381065
180,"env",-0.799186687730253
181,"env",-0.219133236259222
182,"env",0.841709352470934
183,"env",0.830915071628988
184,"env",0.722001839615405
185,"env",-0.691433549299836
186,"env",-0.238164364732802
187,"env",-0.756979546137154
188,"env",-0.94402473680675
189,"env",-0.290134124457836
190,"env",0.398773581720889
191,"env",0.890645835362375
192,"env",0.750526243820786
193,"env",0.465996236726642
194,"env",0.508851371519268
195,"env",0.615105772763491
196,"env",0.43723016474396
197,"env",0.764369145967066
198,"env",0.241448773629963
199,"env",0.946268103830516
200,"env",0.391353050991893
201,"env",0.958590437285602
202,"env",0.733548820763826
203,"env",0.242225909791887
204,"env",-0.695058130286634
205,"env",0.952442275546491
206,"env",0.479940761625767
207,"env",0.867728389054537
208,"env",0.546616061031818
209,"env",0.579339009150863
210,"env",0.399883472174406
211,"env",0.591257658414543
212,"env",0.358000992052257
213,"env",0.549639809131622
214,"env",-0.628451834432781
215,"env",-0.932864399254322
216,"env",-0.211342416144907
217,"env",0.261984015256166
218,"env",0.406385595165193
219,"env",0.968262771330774
220,"env",0.35115984287113
221,"env",0.763189627043903
222,"env",0.420354917645454
223,"env",-0.224249016866088
224,"env",-0.584226458333433
225,"env",-0.483612539246678
226,"env",-0.707218219898641
227,"env",-0.818260696530342
228,"env",0.739029437117279
229,"env",0.49515569973737
230,"env",0.900678378157318
231,"env",0.553233889490366
232,"env",0.290395617112517
233,"env",0.977066164650023
234,"env",0.543635319918394
235,"env",0.497464185766876
236,"env",0.910688590072095
237,"env",-0.523799217492342
238,"env",-0.987158047966659
239,"env",-0.883149111457169
240,"env",0.708067219890654
241,"env",-0.948681753128767
242,"env",-0.628642456792295
243,"env",-0.332333482429385
244,"env",-0.423879204876721
245,"env",-0.60483027510345
246,"env",-0.976841739192605
247,"env",-0.654720827378333
248,"env",0.209685144200921
249,"env",0.531186361424625
250,"env",0.530378808639944
251,"env",0.525378959812224
252,"env",0.356775950267911
253,"env",0.496671604178846
254,"env",0.548969429545105
255,"env",0.57711225412786
256,"env",0.513052934594452
257,"env",0.943943337351084
258,"env",0.376502005755901
259,"env",0.679773068800569
260,"env",0.818432999774814
261,"env",0.712448582053185
262,"env",0.946311010047793
263,"env",-0.211587417684495
264,"env",-0.204295635595918
265,"env",0.422487103939056
266,"env",0.561456601694226
267,"env",-0.318537995219231
268,"env",0.679274469055235
269,"env",0.894498334079981
270,"env",-0.670259755849838
271,"env",0.34434191249311
272,"env",0.67361072357744
273,"env",0.484553438425064
274,"env",0.419931688345969
275,"env",-0.394471617043018
276,"env",-0.657146834768355
277,"env",-0.986251663789153
278,"env",-0.969057727046311
279,"env",-0.534784545376897
280,"env",-0.884502014890313
281,"env",0.930864453315735
282,"env",-0.690795265696943
283,"env",-0.867231188900769
284,"env",-0.449201157316566
285,"env",-0.445285777747631
286,"env",-0.78513639383018
287,"env",-0.363030543737114
288,"env",0.904505242779851
289,"env",-0.558170822821558
290,"env",0.441363258101046
291,"env",0.298591410554945
292,"env",0.581473967991769
293,"env",0.976653517968953
294,"env",0.710565291903913
295,"env",0.570666150376201
296,"env",0.276596545428038
297,"env",0.600658612512052
298,"env",0.279176269844174
299,"env",0.975113753415644
300,"env",0.574616170860827
1,"Input",0.204721335883927
2,"Input",0.123148630125123
3,"Input",0.213647784778126
4,"Input",0.120623886073031
5,"Input",0.136828695052767
6,"Input",0.161604956632922
7,"Input",0.858208487522748
8,"Input",0.760491819310562
9,"Input",0.813486875074457
10,"Input",0.725644691616729
11,"Input",0.800771862476035
12,"Input",0.136501809524535
13,"Input",0.214140252692769
14,"Input",0.240486178674967
15,"Input",0.342035486604354
16,"Input",0.843521398163761
17,"Input",0.756627208224089
18,"Input",0.706812337921338
19,"Input",0.774516248379687
20,"Input",0.846994518724268
21,"Input",0.599390245692706
22,"Input",0.807006497715366
23,"Input",0.648531408669615
24,"Input",0.877551925168114
25,"Input",0.79767412105558
26,"Input",0.726812037513596
27,"Input",0.803665532820644
28,"Input",0.783998780834678
29,"Input",0.830992948240353
30,"Input",0.855173185719504
31,"Input",0.872033299189245
32,"Input",0.825669549719702
33,"Input",0.785216205489828
34,"Input",0.601249420139707
35,"Input",0.872070039435251
36,"Input",0.280081469051728
37,"Input",0.243471747591995
38,"Input",0.220928129046912
39,"Input",0.774059225233529
40,"Input",0.868003807923705
41,"Input",0.800246898288569
42,"Input",0.73648411845316
43,"Input",0.865097532734064
44,"Input",0.835400469323022
45,"Input",0.622750786863242
46,"Input",0.753518958681461
47,"Input",0.845734957983488
48,"Input",0.690869223250268
49,"Input",0.146317192760954
50,"Input",0.200065662525445
51,"Input",0.192991824749748
52,"Input",0.165677211577315
53,"Input",0.26584514411902
54,"Input",0.29220264057238
55,"Input",0.362401903137326
56,"Input",0.181959555935127
57,"Input",0.355530411753221
58,"Input",0.123099281365412
59,"Input",0.400976093967225
60,"Input",0.333623017742399
61,"Input",0.659628111694402
62,"Input",0.764842110075192
63,"Input",0.6827144909811
64,"Input",0.796601416963773
65,"Input",0.875414221086838
66,"Input",0.834271736795061
67,"Input",0.661263445488027
68,"Input",0.817455603821389
69,"Input",0.197606491880171
70,"Input",0.199701652160409
71,"Input",0.120735414902461
72,"Input",0.128987948418315
73,"Input",0.226972080701856
74,"Input",0.1657210102532
75,"Input",0.340078176706121
76,"Input",0.278106503449133
77,"Input",0.179565359360855
78,"Input",0.329165507939876
79,"Input",0.242394488680907
80,"Input",0.281788465006176
81,"Input",0.253919044598186
82,"Input",0.765830309638611
83,"Input",0.768405923118606
84,"Input",0.801222343549455
85,"Input",0.852603629933092
86,"Input",0.773090724036033
87,"Input",0.218138196620079
88,"Input",0.152473788857342
89,"Input",0.206571596062322
90,"Input",0.358750477221503
91,"Input",0.230689868985369
92,"Input",0.384424514666887
93,"Input",0.380025980587419
94,"Input",0.721488491210412
95,"Input",0.677130606923662
96,"Input",0.274618652265249
97,"Input",0.830764060284438
98,"Input",0.861924834133062
99,"Input",0.627305282237427
100,"Input",0.306454599012219
101,"Input",0.223159143614285
102,"Input",0.330288942516015
103,"Input",0.861555248920721
104,"Input",0.80364670056659
105,"Input",0.689302173141154
106,"Input",0.797872897295844
107,"Input",0.861615738520829
108,"Input",0.697286367086838
109,"Input",0.88022019079627
110,"Input",0.836075945992099
111,"Input",0.852026219863492
112,"Input",0.162926577678633
113,"Input",0.357577988145567
114,"Input",0.160035972601868
115,"Input",0.252996055505446
116,"Input",0.362100422994906
117,"Input",0.366493854969752
118,"Input",0.390296730603777
119,"Input",0.370637492091009
120,"Input",0.220703225019942
121,"Input",0.675163931826444
122,"Input",0.293146800934283
123,"Input",0.380950783635151
124,"Input",0.192672597892506
125,"Input",0.345480605505805
126,"Input",0.341076809600887
127,"Input",0.176464751031356
128,"Input",0.204292707828452
129,"Input",0.151983303011963
130,"Input",0.345885211163613
131,"Input",0.334993819923563
132,"Input",0.190856280383878
133,"Input",0.360890211564471
134,"Input",0.15235365409568
135,"Input",0.299607301234076
136,"Input",0.162698878061093
137,"Input",0.341548016522806
138,"Input",0.284912565272114
139,"Input",0.369939826475042
140,"Input",0.252238989741582
141,"Input",0.15022310415478
142,"Input",0.377268905745238
143,"Input",0.321698894587463
144,"Input",0.192867582022221
145,"Input",0.241106545769745
146,"Input",0.122511247442992
147,"Input",0.166345735871702
148,"Input",0.390132453513452
149,"Input",0.379104334014209
150,"Input",0.216070296164454
151,"Input",0.13929388152329
152,"Input",0.228333993416047
153,"Input",0.325289993715595
154,"Input",0.305948967219061
155,"Input",0.834638060001015
156,"Input",0.159943666818106
157,"Input",0.234416926631643
158,"Input",0.263490711681854
159,"Input",0.253985282561922
160,"Input",0.185225525992724
161,"Input",0.144490675287023
162,"Input",0.234873389534195
163,"Input",0.389849057603641
164,"Input",0.19003582270301
165,"Input",0.166586337181579
166,"Input",0.259538018978099
167,"Input",0.351464394992772
168,"Input",0.147930653156531
169,"Input",0.190889396627092
170,"Input",0.134647194450267
171,"Input",0.289885100521544
172,"Input",0.206714201290259
173,"Input",0.207578033298698
174,"Input",0.143312177190031
175,"Input",0.773825521013565
176,"Input",0.813426239761421
177,"Input",0.381470290753875
178,"Input",0.371683865904732
179,"Input",0.381069669005124
180,"Input",0.168209080877011
181,"Input",0.392154111582002
182,"Input",0.843356693492237
183,"Input",0.840483525061121
184,"Input",0.809073878556681
185,"Input",0.20054892585983
186,"Input",0.383119416248525
187,"Input",0.180352796881428
188,"Input",0.131467027214191
189,"Input",0.358870871929202
190,"Input",0.689449551262108
191,"Input",0.855856287806723
192,"Input",0.817731398526522
193,"Input",0.717479340266544
194,"Input",0.734524880180336
195,"Input",0.773855597539669
196,"Input",0.705672951449909
197,"Input",0.821821636260906
198,"Input",0.618431854521782
199,"Input",0.869044436980592
200,"Input",0.68626304761072
201,"Input",0.871823734642056
202,"Input",0.812615840963933
203,"Input",0.618798554642951
204,"Input",0.199389197159068
205,"Input",0.870443362265835
206,"Input",0.723098083478467
207,"Input",0.85010907197289
208,"Input",0.748989862521314
209,"Input",0.761092420896911
210,"Input",0.689924626056906
211,"Input",0.765399762987178
212,"Input",0.67172601992052
213,"Input",0.750125103423141
214,"Input",0.221507368856841
215,"Input",0.134036710139187
216,"Input",0.395874472182427
217,"Input",0.628075155450864
218,"Input",0.692699713574626
219,"Input",0.873969941224452
220,"Input",0.668701875554966
221,"Input",0.821475938090532
222,"Input",0.698614694454663
223,"Input",0.389717931273723
224,"Input",0.237134740693053
225,"Input",0.275433948303809
226,"Input",0.1955352562233
227,"Input",0.162938953145843
228,"Input",0.814279206079607
229,"Input",0.729149425188182
230,"Input",0.858314011911039
231,"Input",0.751470009962
232,"Input",0.641249448990991
233,"Input",0.875896531621773
234,"Input",0.747867416952116
235,"Input",0.730060268229083
236,"Input",0.860731295688909
237,"Input",0.259686533814419
238,"Input",0.121926050669872
239,"Input",0.146003285350045
240,"Input",0.804731703168294
241,"Input",0.130407164522924
242,"Input",0.221441633290706
243,"Input",0.339692023164825
244,"Input",0.299903293542419
245,"Input",0.229761118193964
246,"Input",0.124152267512129
247,"Input",0.212580290484249
248,"Input",0.603332555595093
249,"Input",0.743143714557457
250,"Input",0.742835300326653
251,"Input",0.740920413991693
252,"Input",0.671185524426901
253,"Input",0.729747762618862
254,"Input",0.749873710697178
255,"Input",0.760281694480498
256,"Input",0.736160241152625
257,"Input",0.868514382729485
258,"Input",0.67983290562324
259,"Input",0.795685923282564
260,"Input",0.837108042222594
261,"Input",0.806104989459134
262,"Input",0.869054202658713
263,"Input",0.395757290068724
264,"Input",0.399249955946764
265,"Input",0.699511806314255
266,"Input",0.754528685848024
267,"Input",0.345907814506757
268,"Input",0.795523760924725
269,"Input",0.856804221049456
270,"Input",0.207424638032421
271,"Input",0.665674073137361
272,"Input",0.793674997556774
273,"Input",0.724941443613744
274,"Input",0.698436440774569
275,"Input",0.312395622578564
276,"Input",0.211769244810863
277,"Input",0.122120258860441
278,"Input",0.125855039722574
279,"Input",0.255485039832763
280,"Input",0.145666231284756
281,"Input",0.865498338947261
282,"Input",0.200753674914049
283,"Input",0.150017682250505
284,"Input",0.289378932831969
285,"Input",0.290991892527387
286,"Input",0.172177507173309
287,"Input",0.326059689103372
288,"Input",0.859242239965807
289,"Input",0.246690501078274
290,"Input",0.707386903461502
291,"Input",0.645011515936475
292,"Input",0.761867957441916
293,"Input",0.875806792915743
294,"Input",0.80551559509838
295,"Input",0.757924167041157
296,"Input",0.634876094702738
297,"Input",0.7687590276201
298,"Input",0.636071264129733
299,"Input",0.87547144699744
300,"Input",0.759370673097576
1,"LLR",-1.35704285688698
2,"LLR",-1.96294550150633
3,"LLR",-1.30307600945234
4,"LLR",-1.98653536960483
5,"LLR",-1.84188342839479
6,"LLR",-1.6463345836848
7,"LLR",1.80048930570483
8,"LLR",1.15537778101861
9,"LLR",1.47282818108797
10,"LLR",0.972636477276683
11,"LLR",1.39112550280988
12,"LLR",-1.84465393088758
13,"LLR",-1.30014715120196
14,"LLR",-1.15001590102911
15,"LLR",-0.654236505180597
16,"LLR",1.68466599881649
17,"LLR",1.13427628241479
18,"LLR",0.879952307417989
19,"LLR",1.23399053737521
20,"LLR",1.71122047714889
21,"LLR",0.402925109118223
22,"LLR",1.43067519851029
23,"LLR",0.612590084224939
24,"LLR",1.96944906637073
25,"LLR",1.37182048484683
26,"LLR",0.978507833182812
27,"LLR",1.40936350859702
28,"LLR",1.28912341333926
29,"LLR",1.59268086850643
30,"LLR",1.77576536051929
31,"LLR",1.91905753016472
32,"LLR",1.55524199493229
33,"LLR",1.2963271856308
34,"LLR",0.410673748701811
35,"LLR",1.91938681006432
36,"LLR",-0.944057532399893
37,"LLR",-1.13373896926641
38,"LLR",-1.26026586145163
39,"LLR",1.23137548267841
40,"LLR",1.8834230273962
41,"LLR",1.38783819042146
42,"LLR",1.02777403444052
43,"LLR",1.85829020254314
44,"LLR",1.62439577691257
45,"LLR",0.50124040581286
46,"LLR",1.11746909953654
47,"LLR",1.70153384692967
48,"LLR",0.804186135530471
49,"LLR",-1.76378288641572
50,"LLR",-1.38588402085006
51,"LLR",-1.43068596944213
52,"LLR",-1.61657897718251
53,"LLR",-1.01580600738525
54,"LLR",-0.884710301086307
55,"LLR",-0.564954316988587
56,"LLR",-1.50312733575702
57,"LLR",-0.594816842675209
58,"LLR",-1.9634025849402
59,"LLR",-0.401399697735906
60,"LLR",-0.691843883693218
61,"LLR",0.661637400090695
62,"LLR",1.17941225990653
63,"LLR",0.766274722293019
64,"LLR",1.36518693231046
65,"LLR",1.94970270395279
66,"LLR",1.61620969437063
67,"LLR",0.668929636478424
68,"LLR",1.49920318387449
69,"LLR",-1.40132150761783
70,"LLR",-1.38816007934511
71,"LLR",-1.98548436164856
72,"LLR",-1.90993683636189
73,"LLR",-1.22548814862967
74,"LLR",-1.61626215316355
75,"LLR",-0.662945855781436
76,"LLR",-0.953873470053077
77,"LLR",-1.51929498873651
78,"LLR",-0.711961759999394
79,"LLR",-1.13959629908204
80,"LLR",-0.935607477277517
81,"LLR",-1.07781861945987
82,"LLR",1.18491459228098
83,"LLR",1.19933196865022
84,"LLR",1.39395159520209
85,"LLR",1.75516940876842
86,"LLR",1.2258461356163
87,"LLR",-1.27654921151698
88,"LLR",-1.71532906144857
89,"LLR",-1.34571624323726
90,"LLR",-0.580791554972529
91,"LLR",-1.2044199295342
92,"LLR",-0.470810129866004
93,"LLR",-0.489437952637672
94,"LLR",0.951857044175267
95,"LLR",0.740616288781166
96,"LLR",-0.971314097195864
97,"LLR",1.59105199761689
98,"LLR",1.83136985041201
99,"LLR",0.520673682168126
100,"LLR",-0.81674708686769
101,"LLR",-1.2473503459245
102,"LLR",-0.706878507137299
103,"LLR",1.82826784811914
104,"LLR",1.40924416072667
105,"LLR",0.796858920529485
106,"LLR",1.37305258736014
107,"LLR",1.82877507321537
108,"LLR",0.834408930316568
109,"LLR",1.99451695904136
110,"LLR",1.62931621819735
111,"LLR",1.75058220401406
112,"LLR",-1.63661213181913
113,"LLR",-0.585891940072179
114,"LLR",-1.65796044766903
115,"LLR",-1.08269656784832
116,"LLR",-0.566259283199906
117,"LLR",-0.547287945449352
118,"LLR",-0.446065097674727
119,"LLR",-0.529482940211892
120,"LLR",-1.26157301664352
121,"LLR",0.731634873896837
122,"LLR",-0.880149494484067
123,"LLR",-0.48551458902657
124,"LLR",-1.43273692429066
125,"LLR",-0.638964710384607
126,"LLR",-0.658499272912741
127,"LLR",-1.54048520699143
128,"LLR",-1.35967758707702
129,"LLR",-1.71912965923548
130,"LLR",-0.637175893783569
131,"LLR",-0.685684250295162
132,"LLR",-1.44445586614311
133,"LLR",-0.571502463519573
134,"LLR",-1.71625901386142
135,"LLR",-0.84916855469346
136,"LLR",-1.63828265070915
137,"LLR",-0.656403326615691
138,"LLR",-0.920222476869821
139,"LLR",-0.532474967092276
140,"LLR",-1.08670641183853
141,"LLR",-1.73285228945315
142,"LLR",-0.501156584173441
143,"LLR",-0.745975299552083
144,"LLR",-1.43148389160633
145,"LLR",-1.1466224566102
146,"LLR",-1.9688612960279
147,"LLR",-1.61175039634109
148,"LLR",-0.44675549082458
149,"LLR",-0.493351603299379
150,"LLR",-1.28871555291116
151,"LLR",-1.82116716355085
152,"LLR",-1.21774238198996
153,"LLR",-0.729565905407071
154,"LLR",-0.81912717781961
155,"LLR",1.61886152252555
156,"LLR",-1.65864728204906
157,"LLR",-1.18353646323085
158,"LLR",-1.0279037296772
159,"LLR",-1.07746900580823
160,"LLR",-1.48133721388876
161,"LLR",-1.77848201841116
162,"LLR",-1.18099472299218
163,"LLR",-0.447946740686893
164,"LLR",-1.44977742619812
165,"LLR",-1.6100163962692
166,"LLR",-1.04837108962238
167,"LLR",-0.612608494237065
168,"LLR",-1.75092431232333
169,"LLR",-1.44424143880606
170,"LLR",-1.86047930829227
171,"LLR",-0.895942147821188
172,"LLR",-1.34484638944268
173,"LLR",-1.33958670310676
174,"LLR",-1.78804827667773
175,"LLR",1.23003969080746
176,"LLR",1.4724285941571
177,"LLR",-0.483312252163887
178,"LLR",-0.524999767914414
179,"LLR",-0.485010498762131
180,"LLR",-1.59837337546051
181,"LLR",-0.438266472518444
182,"LLR",1.68341870494187
183,"LLR",1.66183014325798
184,"LLR",1.44400367923081
185,"LLR",-1.38286709859967
186,"LLR",-0.476328729465604
187,"LLR",-1.51395909227431
188,"LLR",-1.8880494736135
189,"LLR",-0.580268248915673
190,"LLR",0.797547163441777
191,"LLR",1.78129167072475
192,"LLR",1.50105248764157
193,"LLR",0.931992473453283
194,"LLR",1.01770274303853
195,"LLR",1.23021154552698
196,"LLR",0.87446032948792
197,"LLR",1.52873829193413
198,"LLR",0.482897547259927
199,"LLR",1.89253620766103
200,"LLR",0.782706101983786
201,"LLR",1.9171808745712
202,"LLR",1.46709764152765
203,"LLR",0.484451819583773
204,"LLR",-1.39011626057327
205,"LLR",1.90488455109298
206,"LLR",0.959881523251534
207,"LLR",1.73545677810907
208,"LLR",1.09323212206364
209,"LLR",1.15867801830173
